gullibly	She gullibly accepted his unlikely story.	她轻信了他那不太可信的说法。
plagiarise	You must not plagiarise another student's work.	你不能抄袭其他学生的作业。
victimise	Managers must not victimise employees who complain.	管理者不得打击报复提出投诉的员工。
regent	The regent ruled for the young king.	摄政者替年幼的国王执政。
advocator	He became an advocator of peaceful reform.	他成为和平改革的倡导者。
groundlessly	They accused her groundlessly.	他们毫无根据地指责她。
impermanency	The poem reflects on life's impermanency.	这首诗思索人生的无常。
irrationally	He reacted irrationally to the news.	他对这个消息作出了不理性的反应。
accessary	The old record described him as an accessary.	那份旧档案将他记为从犯。
gramme	Add one gramme of salt.	加入一克盐。
reservior	The reservoir supplies water to the town.	这座水库为镇上供水。
daltonism	The textbook discusses daltonism and colour perception.	这本教科书讨论色盲与颜色感知。
sphinx	A stone sphinx guarded the entrance.	入口处有一座石雕斯芬克斯守卫。
paysage	The gallery displayed a delicate paysage.	画廊展出了一幅精致的乡村风景画。
morphemics	Morphemics examines the structure of meaningful word units.	语素学研究有意义的词语单位的结构。
covin	The old indictment alleged covin between the merchants.	那份旧起诉书指控商人之间串通欺诈。
superfuse	The researchers superfuse the tissue with saline.	研究人员用盐水灌流组织表面。
gargoyle	Rainwater poured from the gargoyle.	雨水从怪兽形滴水嘴中涌出。
jiltee	The comedy follows an angry jiltee.	这部喜剧围绕一个愤怒的失恋者展开。
mimetism	The insect's mimetism helps it escape predators.	这种昆虫的拟态帮助它躲避捕食者。
triste	The melody had a triste beauty.	这段旋律有一种忧伤的美。
trouvaille	The rare print was a delightful trouvaille.	那张珍贵的版画是个令人欣喜的意外发现。
fatidic	The oracle uttered a fatidic warning.	神谕者发出了预言性的警告。
paleocrystic	The expedition encountered paleocrystic ice.	探险队遇到了古老的多年冰。
thespian	Her thespian talent emerged at school.	她的戏剧表演才能在学校显露出来。
briefless	The briefless lawyer waited for clients.	这位无人委托的律师等待着客户。
marmoreal	The statue had a marmoreal smoothness.	这尊雕像有大理石般的光滑质感。
anurous	Adult frogs are anurous amphibians.	成年青蛙是无尾两栖动物。
photophilous	These photophilous plants thrive in sunlight.	这些喜光植物在阳光下生长茂盛。
glabrous	The leaf has a glabrous surface.	这片叶子的表面光滑无毛。
risque	The comedian avoided risque jokes.	那位喜剧演员避免讲荤笑话。
omnificent	The hymn praises an omnificent creator.	这首赞美诗赞颂一位创造万物的造物主。
mensal	The archive contains mensal financial reports.	档案中保存着每月的财务报告。
gynecoid	The diagram shows a gynecoid pelvis.	这幅图展示了女性型骨盆。
randy	The novel portrays a randy old aristocrat.	小说描绘了一个好色的老贵族。
chunky	She wore a chunky wool sweater.	她穿着一件厚实的羊毛衫。
prying	He disliked their prying questions.	他不喜欢他们窥探隐私的问题。
purblind	The purblind man held the page close.	那位视力不佳的老人把书页拿得很近。
retentive	She has a remarkably retentive memory.	她的记忆力非常好。
bushed	We were bushed after the hike.	徒步后我们累坏了。
forlorn	A forlorn dog waited by the gate.	一只孤零零的狗在门边等着。
incommunicative	He became incommunicative after the argument.	争吵后他变得沉默寡言。
infelicitous	Her infelicitous remark offended the guests.	她那句不恰当的话冒犯了客人。
unversed	I am unversed in legal procedure.	我不熟悉法律程序。
lamentable	The team suffered a lamentable defeat.	这支队伍遭遇了一场令人惋惜的失败。
ineffaceable	The journey left an ineffaceable impression.	这次旅行留下了不可磨灭的印象。
precipitant	His precipitant decision caused confusion.	他仓促的决定引起了混乱。
atrabilious	The atrabilious critic disliked every performance.	那位脾气阴郁的评论家不喜欢任何一场表演。
discalced	The discalced friar walked barefoot.	这位赤足修士光着脚行走。
seraphic	The child gave a seraphic smile.	孩子露出了天使般的微笑。
lubber	The sailor called the clumsy newcomer a lubber.	水手把笨手笨脚的新来者叫作笨蛋。
slimsy	The slimsy fabric tore easily.	这种薄弱的布料很容易撕破。
swank	They dined at a swank restaurant.	他们在一家豪华餐厅用餐。
limnetic	Limnetic organisms live in open freshwater.	淡水敞水区生物生活在开阔的淡水水域中。
tellural	The essay contrasts celestial and tellural forces.	这篇文章对比了天体力量和地球力量。
flaggy	We crossed a flaggy stretch of ground.	我们穿过一片布满扁石的地面。
acidulous	The berries have an acidulous taste.	这些浆果略带酸味。
compendious	She wrote a compendious history of printing.	她写了一部简明的印刷史。
felonious	The charges concerned felonious conduct.	这些指控涉及重罪行为。
flaring	A flaring torch lit the passage.	一支熊熊燃烧的火把照亮了通道。
dissolute	The novel follows a dissolute young heir.	小说讲述了一个放荡的年轻继承人的故事。
flagrant	This is a flagrant breach of trust.	这是对信任的公然背叛。
unstudied	Her welcome had an unstudied warmth.	她的欢迎带着自然的热情。
heterodox	His heterodox views challenged established doctrine.	他的非正统观点挑战了既定学说。
fubsy	A fubsy little dog waddled past.	一只矮胖的小狗摇摆着走过。
ireful	She gave him an ireful glance.	她愤怒地瞪了他一眼。
plumpy	The illustration shows a plumpy baby.	插图上是一个胖乎乎的婴儿。
nipping	A nipping wind stung our faces.	刺骨的风吹得我们的脸生疼。
foppish	His foppish clothes drew amused looks.	他浮华的衣着引来了觉得好笑的目光。
cussed	His cussed refusal delayed everything.	他固执的拒绝耽误了一切。
synoptic	The chapter gives a synoptic overview.	这一章提供了简明的概述。
gnomic	Her gnomic reply puzzled the audience.	她格言般简奥的回答让听众困惑。
crabbed	I could barely read his crabbed handwriting.	我几乎辨认不出他潦草的字迹。
factious	The factious committee could agree on nothing.	这个派系纷争的委员会什么也商定不了。
clement	The judge was unusually clement.	这位法官异常宽厚。
riparian	Riparian trees help stabilise riverbanks.	河岸树木有助于稳固河岸。
swart	The portrait shows his swart complexion.	肖像呈现了他黝黑的肤色。
lubricious	The coating leaves a lubricious surface.	这种涂层形成了光滑的表面。
slumberous	The slumberous music made us drowsy.	这催眠的音乐让我们昏昏欲睡。
feigned	His feigned surprise fooled nobody.	他假装的惊讶没有骗过任何人。
remittent	The case report described a remittent fever.	病例报告描述了一种弛张热。
recherche	The menu featured recherche delicacies.	菜单上有精巧罕见的佳肴。
phatic	Small talk often serves a phatic purpose.	寒暄通常起到联络感情的作用。
palmary	The critic called this his palmary achievement.	评论家称这是他最杰出的成就。
auric	The chemist prepared an auric compound.	化学家制备了一种三价金化合物。
mettlesome	The mettlesome horse leapt the fence.	那匹精神抖擞的马跃过了围栏。
bacchanal	The painting depicts a bacchanal celebration.	这幅画描绘了一场酒神式的狂欢。
teetotal	My grandfather has always been teetotal.	我的祖父一直滴酒不沾。
exceptionable	The editor removed the exceptionable passage.	编辑删掉了那段令人反感的文字。
defeasible	This is a defeasible legal interest.	这是一项可被解除的法律权益。
direful	The villagers feared direful consequences.	村民们担心会有可怕的后果。
exorable	The stern ruler proved exorable after their pleas.	在他们恳求之后，严厉的统治者终于心软了。
limber	Stretching keeps her muscles limber.	拉伸让她的肌肉保持柔韧。
quizzable	His extravagant hat made him quizzable.	他夸张的帽子使他容易成为取笑对象。
reparable	Fortunately, the damage is reparable.	幸运的是，损坏可以修复。
wizened	A wizened man opened the door.	一位干瘦的老人开了门。
grandiloquent	His grandiloquent speech lacked substance.	他那浮夸的演讲缺乏实质内容。
patulous	The tree has a patulous crown.	这棵树有向四周伸展的树冠。
lupine	The creature had a lupine appearance.	那只生物外形像狼。
offish	She seemed offish at first.	她起初显得很冷淡。
pococurante	His pococurante attitude frustrated the volunteers.	他漠不关心的态度使志愿者们沮丧。
rimose	The specimen has a rimose surface.	这个标本的表面布满裂纹。
incult	The map marks the incult land.	地图标出了未开垦的土地。
pulchritudinous	He jokingly called himself pulchritudinous.	他开玩笑地称自己貌美非凡。
restive	The restive crowd demanded an explanation.	躁动不安的人群要求给个解释。
muff	She warmed her hands in a fur muff.	她把双手放进皮手笼里取暖。
poohed	We felt pooped after moving the furniture.	搬完家具后我们累坏了。
narky	He gets narky when he is tired.	他累的时候容易发脾气。
personable	The personable host welcomed everyone.	那位讨人喜欢的主人欢迎每个人。
necessitous	The charity assists necessitous families.	这家慈善机构帮助贫困家庭。
matey	He greeted us in a matey manner.	他友好地和我们打招呼。
bullate	The plant has distinctive bullate leaves.	这种植物的叶片有独特的泡状隆起。
unadvised	It was an unadvised gamble.	那是一次欠考虑的冒险。
spanking	They set off at a spanking pace.	他们飞快地出发了。
coltish	Her coltish energy filled the room.	她小马般活泼的劲头感染了整个房间。
tippy	Be careful with that tippy chair.	小心那把容易翻倒的椅子。
pleonastic	The editor cut several pleonastic phrases.	编辑删掉了几个冗余的短语。
lissom	The lissom dancer moved effortlessly.	那位身体柔软的舞者动作轻盈自如。
somatic	The study distinguished somatic from psychological symptoms.	这项研究区分了躯体症状和心理症状。
cismontane	The survey covered the cismontane villages.	调查涵盖了山脉这一侧的村庄。
colubrine	The sculpture has a colubrine shape.	这座雕塑呈蛇形。
snaky	A snaky path climbed the hill.	一条蜿蜒的小路通向山上。
huffish	His huffish reply ended the conversation.	他气呼呼的回答结束了谈话。
rubefacient	The label describes the ointment as rubefacient.	标签说明这种软膏会使皮肤发红。
obtundent	The old manual describes an obtundent preparation.	那本旧手册描述了一种镇痛制剂。
magniloquent	His magniloquent promises impressed few listeners.	他夸张的承诺没有打动多少听众。
ultramundane	The poem imagines an ultramundane realm.	这首诗想象了一个超凡的境界。
eburnated	The specimen showed an eburnated bone surface.	标本显示骨表面有象牙样硬化。
habile	The habile craftsman repaired the tiny mechanism.	那位手巧的工匠修好了微小的机械装置。
versant	She is versant in classical literature.	她熟悉古典文学。
adynamic	The report described an adynamic patient.	报告描述了一位衰弱无力的患者。
biddable	The biddable dog followed every command.	这只听话的狗服从每一道指令。
eulogistic	The review was warmly eulogistic.	这篇评论热情洋溢地给予赞扬。
subaerial	Subaerial erosion shaped the exposed rock.	地表侵蚀塑造了裸露岩石的形态。
connate	These leaves are connate at the base.	这些叶子在基部合生。
tubbish	The cartoon shows a tubbish little king.	漫画画了一个矮胖的小国王。
protuberant	The insect has protuberant eyes.	这种昆虫的眼睛向外突出。
cloddish	His cloddish manners embarrassed his hosts.	他粗鲁的举止让主人感到尴尬。
lumpish	The puppet moved in a lumpish way.	木偶动作笨拙。
tardy	Please explain your tardy arrival.	请解释一下你为什么迟到。
kaleidoscopic	The festival offered a kaleidoscopic display of colour.	节庆呈现了万花筒般绚丽的色彩。
unbolted	She found the back door unbolted.	她发现后门没有上门闩。
lowbred	The snobbish narrator calls their manners lowbred.	势利的叙述者称他们的举止缺乏教养。
unbidden	The memory returned unbidden.	那段记忆不由自主地浮现了。
unfathomed	The ocean still holds unfathomed depths.	海洋仍有尚未探明的深处。
limitrophe	The two limitrophe provinces share a river.	这两个接壤的省份共有一条河流。
impayable	Her impayable wit delighted the guests.	她无与伦比的机智使宾客十分愉快。
nugatory	The ruling rendered their efforts nugatory.	这项裁决使他们的努力归于无效。
flippancy	His flippancy was inappropriate at the funeral.	他在葬礼上的轻浮态度很不合适。
azoic	The core contained an azoic layer.	岩芯中有一层不含生命遗迹的地层。
categorical	She gave a categorical denial.	她作出了明确的否认。
chinless	The caricature depicted a chinless official.	漫画画了一个下巴后缩的官员。
nescient	He remained nescient of their plans.	他仍对他们的计划一无所知。
improvident	His improvident spending exhausted their savings.	他缺乏远见的挥霍耗尽了他们的积蓄。
rheumy	The old dog had rheumy eyes.	那只老狗的眼睛泪汪汪的。
seclusive	The seclusive writer rarely granted interviews.	这位喜爱独处的作家很少接受采访。
gracile	The skeleton has unusually gracile limbs.	这具骨骼的四肢异常纤细。
scurvy	The sailors feared scurvy on long voyages.	水手们担心长途航行时患上坏血病。
otiose	This extra clause seems otiose.	这个额外的条款似乎多余。
coterminous	The district is coterminous with the parish.	该区与教区的边界完全一致。
orotund	His orotund voice filled the hall.	他洪亮的声音响彻大厅。
respectant	The shield depicts two lions respectant.	盾徽上画着两只回首相望的狮子。
trig	She looked trig in her new uniform.	她穿着新制服，显得整洁利落。
lilliputian	The model contains lilliputian houses.	这个模型里有微型房屋。
chesty	He answered with a chesty laugh.	他发出一阵低沉浑厚的笑声作为回应。
rackety	The rackety machine kept us awake.	那台吵闹的机器让我们睡不着。
haematic	The analysis examined haematic pigments.	这项分析检查了血液色素。
disciplinarian	The coach was a strict disciplinarian.	这位教练严格执行纪律。
reeky	We escaped the reeky kitchen.	我们逃离了烟雾弥漫的厨房。
blase	He seemed blase about his success.	他对自己的成功似乎已感到厌倦。
currish	His currish behaviour spoiled the gathering.	他恶劣的行为破坏了聚会的气氛。
tramontane	The map shows the tramontane settlements.	地图显示了山脉那边的定居点。
passible	The theologian described humans as passible beings.	这位神学家将人类描述为能够感受痛苦的存在。
querimonious	Her querimonious tone irritated the staff.	她抱怨不停的语气令员工烦躁。
fissile	The rock is soft and fissile.	这种岩石柔软且容易劈开。
miscible	These two liquids are completely miscible.	这两种液体可以完全混溶。
pettish	He gave a pettish reply.	他气呼呼地回答了一句。
jesuitical	The critic dismissed the argument as jesuitical.	评论家将这套论证斥为诡辩。
canorous	A canorous voice rose above the crowd.	一个悦耳的声音从人群中响起。
eurhythmic	The class practised eurhythmic movement.	全班练习了音乐节奏律动。
crapulent	He felt crapulent after the banquet.	宴会后他因饮食过量而感到不适。
accipitral	The drawing emphasised the bird's accipitral beak.	这幅画突出了鸟的鹰状喙。
trophic	The diagram shows different trophic levels.	图中展示了不同的营养级。
finable	The ordinance makes this offence finable.	该条例规定这种违法行为可处以罚款。
sempiternal	The poem celebrates sempiternal love.	这首诗歌颂永恒的爱。
notched	He fitted the notched pieces together.	他把带缺口的零件拼接起来。
baneful	The policy had a baneful influence.	这项政策产生了有害影响。
peart	She looked peart after her rest.	休息后她看起来精神十足。
foraminate	The shell has a foraminate surface.	这个贝壳的表面有许多小孔。
gemmate	The sketch shows a gemmate branch.	这幅素描画了一根带芽的树枝。
provident	A provident farmer saves seed for spring.	有远见的农民会为春天留种。
periphrastic	His periphrastic answer avoided the issue.	他迂回的回答避开了问题。
ambagious	The instructions were needlessly ambagious.	这些说明写得不必要地迂回晦涩。
gleeful	The children gave a gleeful shout.	孩子们高兴地喊了起来。
doltish	His doltish mistake delayed the shipment.	他愚蠢的错误耽误了发货。
pluvial	The sediments indicate a pluvial period.	这些沉积物表明曾有一个多雨时期。
outre	Her outre costume attracted attention.	她奇异的服装引起了注意。
mumpish	He sat in mumpish silence.	他闷闷不乐地坐着，一言不发。
subcelestial	The poem contrasts heaven with subcelestial life.	这首诗将天堂与尘世生活作对比。
dyslogistic	The dictionary marks this term as dyslogistic.	词典将这个词标为贬义词。
eristic	His eristic style hindered useful discussion.	他好争辩的作风妨碍了有益的讨论。
antithetic	Their proposals are antithetic in principle.	他们的提案在原则上相互对立。
pestilent	The old account describes a pestilent fever.	那份旧记述描写了一种致命的热病。
thanatoid	The character fell into a thanatoid trance.	这个角色陷入了如死亡般的恍惚状态。
moderato	The score directs us to play moderato.	乐谱要求我们用中板速度演奏。
sapient	The tale features a sapient old owl.	这个故事里有一只睿智的老猫头鹰。
prudish	She found their prudish attitude stifling.	她觉得他们拘谨保守的态度令人压抑。
upstage	The actor moved upstage during the song.	演员在唱歌时向舞台后部移动。
thrasonical	His thrasonical boasting amused the guests.	他那自吹自擂的话让客人们觉得好笑。
baffling	The disappearance remains a baffling mystery.	这次失踪仍是个令人困惑的谜。
opprobrious	The debate descended into opprobrious insults.	辩论沦为了粗鄙的谩骂。
empyreal	The poet imagined an empyreal light.	诗人想象了一道来自九天的光。
asunder	The explosion tore the ship asunder.	爆炸把船撕成了碎片。
adagio	She played the final passage adagio.	她缓慢地演奏了最后一段。
gropingly	He moved gropingly through the dark room.	他在黑暗的房间里摸索着前行。
abask	The cat lay abask in the sunshine.	猫暖洋洋地躺在阳光下。
rudiments	She taught me the rudiments of chess.	她教我国际象棋的入门知识。
gardenia	A white gardenia bloomed by the window.	窗边开着一朵白色栀子花。
gorgon	The myth describes a terrifying gorgon.	这个神话描述了一个可怕的蛇发女妖。
stoic	He remained stoic despite the setback.	尽管受挫，他仍然坚忍镇定。
gleanings	The book collects gleanings from old diaries.	这本书汇集了从旧日记中搜集的片段。
mongolism	The obsolete term mongolism is now considered offensive.	如今，过时的术语 mongolism 被认为具有冒犯性。
leviathan	A leviathan emerged from the waves.	一个庞然大物从浪涛中浮现。
saturnalia	The celebration became a noisy saturnalia.	庆祝活动变成了一场喧闹的狂欢。
papoose	The old story refers to a baby as a papoose.	那个旧故事用 papoose 一词称呼一个婴儿。
curd	She strained the curd through cloth.	她用布过滤凝乳。
fealty	The knight swore fealty to the king.	骑士宣誓效忠国王。
honorarium	The speaker received a small honorarium.	演讲者收到了一笔小额酬金。
cognomen	The historian explained the general's cognomen.	历史学家解释了那位将军的别号。
hecatomb	The ancient account describes a hecatomb.	这份古代记述描述了一场百牲祭。
snips	Use snips to cut the thin metal.	用铁剪剪这块薄金属板。
thimbleful	He poured a thimbleful of brandy.	他倒了一小口白兰地。
lint	She brushed lint from her coat.	她刷掉了外套上的绒屑。
impresario	The impresario arranged an international tour.	演出经纪人安排了一次国际巡演。
nepenthe	For him, music served as nepenthe.	对他而言，音乐是忘忧之物。
skewer	Thread the vegetables onto a skewer.	把蔬菜穿在烤签上。
prance	We watched the horses prance around the field.	我们看着马儿在场地上腾跃。
puissance	The horse won the puissance competition.	这匹马赢得了马术越障能力赛。
salaam	He greeted the visitors with a salaam.	他向来访者行额手礼致意。
coquetry	Her playful coquetry charmed him.	她俏皮的卖弄风情使他着迷。
pergola	Grapevines covered the wooden pergola.	葡萄藤爬满了木制凉棚。
divestiture	The company announced the divestiture of a subsidiary.	公司宣布剥离一家子公司。
peroration	His moving peroration drew warm applause.	他感人的结束语赢得了热烈掌声。
implosion	The tower collapsed in a controlled implosion.	塔楼在受控的内向爆破中倒塌。
jamboree	Thousands attended the international scout jamboree.	数千人参加了国际童子军大会。
corniche	We drove along the coastal corniche.	我们沿着滨海悬崖公路行驶。
burlap	The potatoes arrived in burlap sacks.	土豆装在粗麻布袋里运到了。
capitulation	The siege ended with their capitulation.	围城以他们投降告终。
malversation	The inquiry uncovered official malversation.	调查揭露了官员的贪污渎职行为。
pith	She removed the white pith from the orange.	她去掉了橙子白色的内皮。
liman	The river enters a broad liman.	这条河流入一个宽阔的河口湾。
mesa	A flat-topped mesa rose above the desert.	一座平顶台地耸立在沙漠之上。
terrapin	A terrapin basked on the log.	一只水龟在木头上晒太阳。
buzzard	A buzzard circled above the field.	一只鵟在田野上空盘旋。
scorpion	A scorpion hid beneath the stone.	一只蝎子藏在石头下面。
relict	This forest is a relict of an older ecosystem.	这片森林是古老生态系统的遗存。
fretwork	Delicate fretwork decorated the balcony.	精细的透雕装饰着阳台。
synapse	The diagram shows a connection at a synapse.	这幅图展示了突触处的连接。
diminuendo	The orchestra finished with a gentle diminuendo.	乐队以轻柔的渐弱收尾。
misprision	The historian discussed the old offence of misprision.	历史学家讨论了旧时的隐瞒重罪罪名。
spinster	The old register listed her as a spinster.	那本旧登记簿将她记为未婚女性。
tenon	The tenon fits tightly into the mortise.	榫头紧紧地嵌入榫眼。
autotype	The museum displayed an early autotype.	博物馆展出了一张早期的碳印照片。
villein	The villein owed labour to the lord.	农奴有义务为领主服劳役。
misoneist	The misoneist resisted every proposed change.	那个厌新者反对每一项变革提议。
nanism	The botanical study examined nanism in plants.	这项植物学研究考察了植物的矮化现象。
cachexia	The report recorded severe cachexia.	报告记录了严重的恶病质。
astigmatism	Her eye examination revealed astigmatism.	她的眼部检查发现了散光。
oxyopia	The old textbook uses oxyopia for unusually sharp vision.	那本旧教科书用 oxyopia 表示异常敏锐的视觉。
percussionist	The percussionist picked up the mallets.	打击乐手拿起了鼓槌。
guru	The young programmer sought advice from a software guru.	那位年轻程序员向一位软件专家请教。
exchequer	The expense placed pressure on the exchequer.	这笔支出给国库带来了压力。
heliotrope	She planted heliotrope beside the path.	她在小路旁种了天芥菜。
tuber	A potato is an underground tuber.	土豆是一种地下块茎。
tare	Subtract the tare to find the net weight.	减去皮重就得到净重。
oracle	The travellers consulted the oracle.	旅行者们向神谕者求问。
jacal	The family sheltered in a small jacal.	一家人在一间小茅屋里避难。
reflet	The glaze has a metallic reflet.	这种釉面带有金属光泽。
conge	The dismissed servant received his conge.	被解雇的仆人收到了辞退通知。
auberge	We stayed at a village auberge.	我们住在一家乡村小客栈。
lentitude	The clerk's lentitude frustrated the waiting customers.	那位职员的迟缓使等候的顾客感到沮丧。
nugae	He filled his notebook with amusing nugae.	他在笔记本中写满了有趣的琐事。
barranca	A narrow trail descended into the barranca.	一条狭窄的小径通向峡谷深处。
highbrow	The magazine has a highbrow readership.	这本杂志的读者文化修养较高。
weal	The reform aimed at the common weal.	改革旨在增进公共福祉。
carfax	Four roads meet at the carfax.	四条道路在这个路口交汇。
litterbin	Please put the wrapper in the litterbin.	请把包装纸放进垃圾箱。
threnode	The choir sang a solemn threnode.	合唱团唱了一首庄严的挽歌。
gusto	She tackled the project with gusto.	她满怀热情地着手这个项目。
hoyden	The novel introduces a fearless young hoyden.	小说引入了一个无所畏惧的顽皮女孩。
intaglio	The ring contains a carved intaglio.	戒指上镶着一颗凹雕宝石。
macula	The illustration labels the retinal macula.	插图标出了视网膜黄斑。
calotte	The cleric wore a small calotte.	那位教士戴着一顶小便帽。
lamella	The microscope revealed a thin lamella.	显微镜下可见一个薄层。
indemnification	The contract includes an indemnification clause.	合同包含一项赔偿条款。
salvo	The ships fired a ceremonial salvo.	舰船齐射礼炮。
parvenu	The snobbish guests dismissed him as a parvenu.	势利的宾客把他视为暴发户而不屑一顾。
tragedienne	The celebrated tragedienne returned to the stage.	那位著名的悲剧女演员重返舞台。
jeremiad	His speech became a jeremiad about modern life.	他的演讲变成了对现代生活的长篇哀叹。
conchology	Her interest in shells led her to conchology.	对贝壳的兴趣引导她研究贝壳学。
energumen	The satire portrays the preacher as an energumen.	这部讽刺作品把传教士描绘成一个狂热者。
tomfool	Stop behaving like a tomfool.	别再像个傻瓜一样行事。
schnorrer	The comedy's schnorrer always avoids paying.	这部喜剧里那个蹭吃蹭喝的人总是逃避付钱。
romp	The puppies enjoyed a romp outside.	小狗们在外面欢快地嬉闹。
dirk	The museum displayed a ceremonial dirk.	博物馆展出了一把仪式用短剑。
wainscot	Dark wooden wainscot lined the hallway.	走廊下部的墙面铺着深色木护墙板。
feculence	The filter removed the water's feculence.	过滤器去除了水中的污浊物。
frippery	She preferred plain clothes to fashionable frippery.	比起时髦的花哨服饰，她更喜欢朴素的衣服。
doodad	What does this little doodad do?	这个小玩意儿是干什么的？
vindication	The new evidence brought her vindication.	新证据为她洗清了冤屈。
byline	Her byline appeared above the article.	她的署名出现在文章上方。
complaisance	His complaisance made him a pleasant companion.	他的随和使他成为令人愉快的同伴。
helve	The axe needed a new helve.	这把斧头需要换一个新柄。
haft	He carved a wooden haft for the tool.	他为工具雕了一个木柄。
perfidy	Their perfidy destroyed the alliance.	他们的背信弃义破坏了联盟。
incertitude	A sense of incertitude troubled the investors.	一种不确定感困扰着投资者。
gravamen	The gravamen of the complaint was unequal treatment.	投诉的核心是不平等的待遇。
intransigence	Their intransigence stalled the negotiations.	他们不肯让步，使谈判陷入僵局。
ignoramus	He feared being mistaken for an ignoramus.	他担心被误认为是个无知的人。
dissonance	The music alternates harmony and dissonance.	这段音乐交替使用和谐音与不和谐音。
puttee	He wrapped a puttee around his lower leg.	他在小腿上缠了一条绑腿。
bilge	Water collected in the bilge.	水积聚在舱底。
blarney	Her cheerful blarney softened his refusal.	她快活的甜言蜜语软化了他拒绝的态度。
conventionality	The film challenges the conventionality of suburban life.	这部电影挑战了郊区生活的因循守旧。
quietus	The announcement put a quietus on the rumours.	这则公告平息了谣言。
nidus	The damaged area formed a nidus for infection.	受损区域形成了感染的病灶。
pernoctation	The old chronicle describes a vigil of pernoctation.	那部旧编年史记述了一次彻夜守夜。
cogitation	After much cogitation, she reached a decision.	经过反复思考，她作出了决定。
compellation	The letter uses an unusually formal compellation.	这封信使用了异常正式的称呼。
castigation	The report drew severe public castigation.	这份报告招致了公众的严厉责难。
fag	Cleaning all those windows was a fag.	擦完所有那些窗户是一项苦差事。
repletion	After the feast, he felt uncomfortable repletion.	盛宴之后，他觉得饱胀难受。
plenum	The committee held a special plenum.	委员会举行了一次特别全体会议。
